Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/AnimeMind/;Animemind01;.jpg;Si;Temas de Hoy;Terminada;Nose;3;N/N;No
Mangas/AnimeMind/;Animemind02;.jpg;Si;Martinez Roca;Terminada;Nose;3;N/N;No
Mangas/AnimeMind/;Animemind03;.jpg;Si;Martinez Roca;Terminada;Nose;3;N/N;No
Mangas/Another/;Another00;.jpg;Si;Ivrea;Terminada;Terminada;5;5;No
Mangas/Another/;Another01;.jpg;Si;Ivrea;Terminada;Terminada;5;5;No
Mangas/Another/;Another02;.jpg;Si;Ivrea;Terminada;Terminada;5;5;No
Mangas/Another/;Another03;.jpg;Si;Ivrea;Terminada;Terminada;5;5;No
Mangas/Another/;Another04;.jpg;Si;Ivrea;Terminada;Terminada;5;5;No
Mangas/Bakuman/;Bakuman01;.jpg;Si;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman02;.jpg;Si;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman03;.jpg;Si;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman04;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman05;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman06;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman07;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman08;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman09;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman10;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman11;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman12;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman13;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman14;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman15;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman16;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman17;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman18;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman19;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/Bakuman/;Bakuman20;.jpg;No;Ivrea;Terminada;Terminada;20;20;No
Mangas/BlueExorcist/;BlueExorcist01;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist02;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist03;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist04;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist05;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist06;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist07;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist08;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist09;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist10;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist11;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist12;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist13;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist14;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist15;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist16;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist17;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist18;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist19;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist20;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist21;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist22;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist23;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist24;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist25;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist26;.jpg;Si;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist27;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist28;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/BlueExorcist/;BlueExorcist29;.jpg;No;Ivrea;En curso;En curso;29;30;No
Mangas/ChainsawMan/;ChainsawMan01;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan02;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan03;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan04;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan05;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan06;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan07;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan08;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan09;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan10;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan11;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan12;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan13;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan14;.jpg;No;Ivrea;En curso;En curso;15;17;Si
Mangas/alternativas/;ChainsawMan14_alt;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan14_alt;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/ChainsawMan/;ChainsawMan15;.jpg;Si;Ivrea;En curso;En curso;15;17;Si
Mangas/DGrayMan/;D.Gray-Man01;.jpg;Si;Ivrea;En curso;En curso;28;28;No
